Assigned_to_Group,Category,Item,Summary,Resolution,Support_Diary,Notes,Work_Log,1CApp_Name,row_count
L1 (AVM Tools & Portals),AppLensLite,Others,App Lens upload notification not received,,673898 12/19/2018 6:26:03 PM  In Progress  Subhashini S    625820 12/19/2018 5:25:52 PM  In Progress  Keerthana G S    625820 12/19/2018 5:25:37 PM  Assigned  Keerthana G S   ,"I have following issues in App Lens:  1. After uploading ticket manually in DART, i used to get the failure tickets through email. Am not receiving in App Lens. Instead Error log is not giving me complete information as it has only error messsage for each ticket. i have to manually spend effort on finding the issue. Please send report similar to we received from DART.  2. When Timesheet approver is unfreezing / Rejecting the ticketsheet, the associate is not getting notification email as well as not aware why it is rejected as well. Approver has to manually inform associate about the unfreeze/rejection.","AR_ESCALATOR 12/26/2018 11:48:53 AM  Case INC000032533992 was automatically Closed on 12/26/2018 11:38:00 AM,Since no information/Response provided by the user.      AR_ESCALATOR 12/24/2018 10:16:13 AM  Reminder Sent 2      AR_ESCALATOR 12/21/2018 9:19:28 AM  Reminder Sent 1      625820 12/19/2018 7:22:17 PM  Dear Ashwin Kumar,  Thank for reaching AVMCoETechDesk.  This is reference to the Ticket Number: INC000032533992  Request:  We understand from your description that, App Lens upload notification not received  Resolution:  Please be informed that, as per the applens functionality the mail for the unfreeze/ rejection will not be generated to the associates .  As discussed, Please find  the POC details -  POC - 245829 (prabhu)  As  requested, We are  placing this ticket in pending for your confirmation. Regards,  AVMCoETechDesk.    Keerthana G S    SSOneC1697PROD 12/19/2018 6:25:12 PM  Please keep this open until it is discussed with POC and decision has been taken.  Ashwin Kumar Kannan    625820 12/19/2018 6:20:34 PM  Dear Ashwin Kumar,  Thank for reaching AVMCoETechDesk.  This is reference to the Ticket Number: INC000032533992  Request:  We understand from your description that, App Lens upload notification not received  Resolution:  Please be informed that, as per the applens functionality the mail for the unfreeze/ rejection will not be generated to the associates .  As discussed, Please find  the POC details -  POC - 245829 (prabhu)  As the required information is shared through call , We are changing the case as resolved Kindly  reach us for further queries.  Regards,  AVMCoETechDesk.   Keerthana G S   ",AppLensLite,710
L1 (AVM Tools & Portals),AVM DART,Unable to view the ticket summary report,Ticket Summary Report,,625820 12/20/2018 1:30:16 PM  In Progress  Keerthana G S    625820 12/19/2018 5:05:57 PM  In Progress  Keerthana G S   ,"Hi,  I don't have access to the Applens Timesheet Reports. kindly enable timesheet report access for the below IDs  Suganya S - 307760 Hemnath Natarajan - 542282 Arun Rajagopal - 306102  Regards Suganya S","AR_ESCALATOR 12/27/2018 3:46:42 AM  Case INC000032533910 was automatically closed on 12/27/2018 2:00:00 AM.      625820 12/20/2018 1:31:52 PM  Dear Suganya  ,  Thank for reaching AVMCoETechDesk.  This is reference to the Ticket Number:INC000032533910 Request:  We understand from your description that, Need access to Qliksense report  Resolution:  Please be informed that, We have enabled the Qlik sense access. NOTE : operational access is required along with Qlik sense access to view the reports.  Hence, We are changing the case as "" Resolved""  Kindly reach us for further queries.    Regards,  AVMCoETechDesk.       Keerthana G S    625820 12/19/2018 6:46:51 PM  Dear Suganya  ,  Thank for reaching AVMCoETechDesk.  This is reference to the Ticket Number:INC000032533910 Request:  We understand from your description that, Need access to Qliksense report  Resolution:  Please be informed that, We have sent a mail to enable the Qlik sense access.Will update you , once the access has been provided.  NOTE : operational access is required along with Qlik sense access to view the reports. We are placing the ticket in pending for your confirmation  Kindly update on the ticket by logging into https://gsd.cognizant.com  Regards,  AVMCoETechDesk.     Keerthana G S   ",AVM DART,711
L1 (AVM Tools & Portals),AppLensLite,How to unfreeze timesheet,Applens - Approval issue,"Dear Vinith ,  Thank for reaching AVMCoETechDesk.  This is reference to the Ticket Number: INC000032533786  Request:  We understand from your description that, Applens - Approval issue  Resolution:  Please be informed that, as discussed on call,there is no option of approving the timesheet for more than 30 days in AppLens.  Please contact us through https://gsd.cognizant.com for any further clarifications.  Regards, AVMCoETechDesk.",673898 12/19/2018 5:38:42 PM  In Progress  Subhashini S    673898 12/19/2018 5:38:32 PM  a  Subhashini S    625820 12/19/2018 5:37:54 PM  In Progress  Keerthana G S    673898 12/19/2018 5:37:52 PM  In Progress  Subhashini S    673898 12/19/2018 5:36:45 PM  In Progress  Subhashini S    625820 12/19/2018 5:33:17 PM  In Progress  Keerthana G S   ,I don't see the last month data to approve. Please help me on this. Thank you!,"AR_ESCALATOR 12/27/2018 3:47:01 AM  Case INC000032533786 was automatically closed on 12/27/2018 2:00:00 AM.      673898 12/19/2018 6:12:00 PM  Dear Vinith ,  Thank for reaching AVMCoETechDesk.  This is reference to the Ticket Number: INC000032533786  Request:  We understand from your description that, Applens - Approval issue  Resolution:  Please be informed that, as discussed on call,there is no option of approving the timesheet for more than 30 days in AppLens.  Please contact us through https://gsd.cognizant.com for any further clarifications.  Regards, AVMCoETechDesk.      Subhashini S   ",AppLensLite,712
AppLensLite_L2,AppLens,How to raise an exception in AppLensLite,Need access to Service Analytics Dashboard,"Hi Saraswathi,  Request you to check the project in drop down and confirm us on the same.  Note: Applens portal is currently down due to planned activity. Kindly check once it is up.   Regards, Applensteam","439430 12/20/2018 6:09:27 PM  In Progress  Meenushree M    436569 12/20/2018 9:39:22 AM  //  Paramasivam Krishnamoorthy    436569 12/20/2018 9:39:14 AM  //  Paramasivam Krishnamoorthy    673898 12/19/2018 8:03:35 PM  forwarded the screenshot to meenushree and rameezh  Subhashini S    673898 12/19/2018 8:01:13 PM  Hi Team,  Below project is not getting listed under Service Analytics   1000236712 Total - GRA TMA Evolutions  As checked from our end User is not mapped to the project 1000236712 in Employeeprojectmapping table and when checked in screen sharing under User management>>Create user>>Enter ur id>>Project level hierarchy ,only the project -Total MS GRA Maintenance is displayed and the project- 1000236712 is not displayed in the project level hierarchy and any other drop down.  And when checked in AVMDART_MigratedProjectsInfo there is no entry for this project and in AVL.MAS_ProjectMaster ---> Isprojectsetupcompleted in ""N""  In AVL.PRJ_ConfigurationProgress ----->screen 2 is 10%  In VW_Project_Config_Status------->ApplicationInventory is ""Y""   and ITSMConfiguration is ""Y""  Project id:1000236712   Please assist the user.  Regards, AVMCoETechDesk.   Subhashini S    673898 12/19/2018 6:03:36 PM  a  Subhashini S    625820 12/19/2018 5:05:18 PM  In Progress  Keerthana G S   ",Below project is not getting listed under Service Analytics   1000236712 Total - GRA TMA Evolutions,"AR_ESCALATOR 12/27/2018 11:49:53 AM  Case INC000032533695 was automatically Closed on 12/27/2018 11:38:38 AM,Since no information/Response provided by the user.      AR_ESCALATOR 12/26/2018 11:49:03 AM  Reminder Sent 2      AR_ESCALATOR 12/24/2018 10:16:23 AM  Reminder Sent 1      439430 12/20/2018 6:10:57 PM  Hi Saraswathi,  Request you to check the project in drop down and confirm us on the same.  Note: Applens portal is currently down due to planned activity. Kindly check once it is up.   Regards, Applensteam  Meenushree M   ",AppLensLite,713
AVMPMO_L2,AVM PMO,Reports issue in AVM PMO,AVM PMO - Reports issue in AVM PMO,,"597603 12/19/2018 5:50:23 PM  WIP  SRI RAM    625820 12/19/2018 5:07:20 PM  Hi  Team,  Kindly move the below demand to ""Pending demand validation ""  queue  30636681 30636881 30636882 30637111.   Regards AVMTechdesk  Keerthana G S   ","Kindly move the below demand to ""Pending demand validation ""  queue  30636681 30636881 30636882 30637111","AR_ESCALATOR 12/27/2018 3:47:45 AM  Case INC000032533596 was automatically closed on 12/27/2018 2:00:00 AM.      597603 12/19/2018 6:00:00 PM  Below demand updated to ""Pending demand validation ""  queue  30636681 30636881 30636882 30637111  SRI RAM   ",AVMPMO,714
AVMPMO_L2,AVM PMO,Reports issue in AVM PMO,AVM PMO - Reports issue in AVM PMO,,"597603 12/19/2018 5:49:31 PM  WIP  SRI RAM    625820 12/19/2018 4:56:17 PM  Hi   Team,  Kindly change the competency as Core others and move status to 1.2.1 so approved for identified resource for below SO: 30642691 30642692 30642693 30642694 30642695 30642696 30642697 30642698 30642699 306426910 306426911 306426912   Regards AVMTechdesk  Keerthana G S   ",Kindly change the competency as Core others and move status to 1.2.1 so approved for identified resource for below SO: 30642691 30642692 30642693 30642694 30642695 30642696 30642697 30642698 30642699 306426910 306426911 306426912,597603 12/19/2018 6:09:36 PM  competency updated as Core others and moved status to 1.2.1 so approved for identified resource for below SO: 30642691 30642692 30642693 30642694 30642695 30642696 30642697 30642698 30642699 306426910 306426911 306426912  SRI RAM    ,AVMPMO,715
AVMPMO_L2,AVM PMO,Reports issue in AVM PMO,AVM PMO - Reports issue in AVM PMO,,"597603 12/19/2018 5:49:09 PM  WIP  SRI RAM    625820 12/19/2018 4:57:26 PM  Hi  Team,   Kindly move the below said demand to ""SO Approved for identified Resource"" queue  30572301.   Regards AVMTechdesk  Keerthana G S   ","Kindly move the below said demand to ""SO Approved for identified Resource"" queue  30572301","AR_ESCALATOR 12/25/2018 2:05:51 AM  Case INC000032533274 was automatically closed on 12/25/2018 2:00:00 AM.      597603 12/19/2018 5:56:05 PM  Below demand updated to ""SO Approved for identified Resource"" queue  30572301  SRI RAM   ",AVMPMO,716
L1 (AVM Tools & Portals),AppLensLite,Others,Issues in AppLensLite timesheet,,625820 12/20/2018 1:32:51 PM  In Progress  Keerthana G S    625820 12/19/2018 4:49:03 PM  In Progress  Keerthana G S   ,"Hi,   I need access to APPLENS Timesheet defaulter report. I heard that I need to get access for Qlik sense timesheet reports . Could you please provide access ASAP.  Project ID: 1000139826  Project Name: HIG-M-IT-PERS LINES-FB  Regards, Vigneshwaran M VNET: 455647 | Mob : 9789972425","AR_ESCALATOR 12/27/2018 3:49:01 AM  Case INC000032532798 was automatically closed on 12/27/2018 2:00:00 AM.      625820 12/20/2018 1:34:13 PM  Dear Vigneshwaran   ,  Thank for reaching AVMCoETechDesk.  This is reference to the Ticket Number:INC000032532798 Request:  We understand from your description that, Need access to Qliksense report  Resolution:  Please be informed that, We have enabled the Qlik sense access.  NOTE : operational access is required along with Qlik sense access to view the reports. We are placing the ticket in pending for your confirmation  Hence ,We are changing the case as resolved  Kindly  reach us for further Queries.  Regards,  AVMCoETechDesk.   Keerthana G S    625820 12/19/2018 6:49:10 PM  Dear Vigneshwaran   ,  Thank for reaching AVMCoETechDesk.  This is reference to the Ticket Number:INC000032532798 Request:  We understand from your description that, Need access to Qliksense report  Resolution:  Please be informed that, We have sent a mail to enable the Qlik sense access.Will update you , once the access has been provided.  NOTE : operational access is required along with Qlik sense access to view the reports. We are placing the ticket in pending for your confirmation  Kindly update on the ticket by logging into https://gsd.cognizant.com  Regards,  AVMCoETechDesk.   Keerthana G S   ",AppLensLite,717
L1 (AVM Tools & Portals),Applens,How to update Timesheet Approver,AppLensLite Tracking Projectsetup Timesheet Others,"Dear Suresh ,  Thank for reaching AVMCoETechDesk.  This is reference to the Ticket Number: INC000032532791  Request:  We understand from your description that, AppLensLite Tracking Projectsetup Timesheet   Resolution:  Please be informed that, as discussed on call there is no option of inactive the user in AppLens if a user is having allocation in the project they have to track the efforts in AppLens.  As per AppLens functionality ,there is no option of unfreezing /approving the timesheet instead of timesheet approver and the timesheet cannot be unfreezed for more than 30 days.  Please contact us through https://gsd.cognizant.com for any further clarifications.  Regards, AVMCoETechDesk.",625820 12/19/2018 4:48:26 PM  In Progress  Keerthana G S   ,"Hi,  1. We don't want to track 1 resource in one of the project. we have unchecked 'Is tracking' for that resourcein User Management. But still that resource tracked (we got that resource name in Defaulter report of our project) in our project.  Could you please help on this - How to untrack 1 resource from our project.   2. And also is there anyway we can unfreeze if TS Approver is on leave?  3. Is there anyway we can unfreeze more than 1 month?  Regards, Suresh Ramakanthan","AR_ESCALATOR 12/25/2018 2:06:17 AM  Case INC000032532791 was automatically closed on 12/25/2018 2:00:00 AM.      673898 12/19/2018 5:49:11 PM  Dear Suresh ,  Thank for reaching AVMCoETechDesk.  This is reference to the Ticket Number: INC000032532791  Request:  We understand from your description that, AppLensLite Tracking Projectsetup Timesheet   Resolution:  Please be informed that, as discussed on call there is no option of inactive the user in AppLens if a user is having allocation in the project they have to track the efforts in AppLens.  As per AppLens functionality ,there is no option of unfreezing /approving the timesheet instead of timesheet approver and the timesheet cannot be unfreezed for more than 30 days.  Please contact us through https://gsd.cognizant.com for any further clarifications.  Regards, AVMCoETechDesk.      Subhashini S   ",AppLensLite,718
AppLensLite_L2,Applens,How to add Customer,How to add customer in Applens Application,"Keywords :App Inventory, upload Issue Notes: Not able to remove the existing configuration from UI Cause Code :  Application mapped with hierachy Resolution Code : Removed the existing configuration","436569 12/20/2018 9:40:48 AM  //  Paramasivam Krishnamoorthy    436569 12/20/2018 9:40:41 AM  //  Paramasivam Krishnamoorthy    625820 12/19/2018 7:52:49 PM  Hi  Team,  User  is unable to upload the App hierarchy template for the project -project “1000179685 – AbbVie IT Transformation”. .getting an error as "" Duplicate values""   As checked from our end , the user is trying to update values similar to existing values and he is not able to edit/delete the values in the portal as the data was migrated from DART and have tickets against these LOB.  As there are multiple values to be added in the portal ,he has requested if the older data could be removed  so that he could  configure the new set of values.  Account -1200075  PFA  Regards AVMTechdesk  Keerthana G S    625820 12/19/2018 7:52:31 PM  Assigned  Keerthana G S    625820 12/19/2018 4:40:31 PM  In Progress  Keerthana G S   ","i am unable to upload the excel to update the Application Hierarchy. It says ""Duplicate exists"" However the validation works fine in the excel","AR_ESCALATOR 12/28/2018 4:24:16 AM  Case INC000032532521 was automatically closed on 12/28/2018 2:00:44 AM.      561855 12/20/2018 6:30:40 PM  Dear Nataraj, This is reference to the Ticket Number: INC000032532521 Request: We understand from your description that,How to add customer in Applens Application Resolution: Please be informed that, we are closing the ticket post your confirmation that you are able to delete existing hierarchy and add new hierarchy.  Kindly reach us for further queries. Thanks.   Swarnalatha Balakrishnamoorthy    561855 12/20/2018 6:27:23 PM  WIP  Swarnalatha Balakrishnamoorthy   ",AppLensLite,719
AVMPMO_L2,AVM PMO,Reports issue in AVM PMO,AVM PMO - Reports issue in AVM PMO,,"597603 12/19/2018 5:48:43 PM  WIP  SRI RAM    625820 12/19/2018 4:42:40 PM  Kindly change the below said demand to ""Pending demand validation"" queue.  30582502 30584412  Regards AVMTechdesk  Keerthana G S   ","Kindly change the below said demand to ""Pending demand validation"" queue.  30582502 30584412","AR_ESCALATOR 12/25/2018 2:06:30 AM  Case INC000032532499 was automatically closed on 12/25/2018 2:00:00 AM.      597603 12/19/2018 5:52:37 PM  Below demands updated to ""Pending demand validation"" queue.  30582502 30584412  SRI RAM   ",AVMPMO,720
L1 (AVM Tools & Portals),AppLensLite,Others,Need assisstance in AppLensLiteProject setup,"Dear Rajar ,  Thank for reaching AVMCoETechDesk.  This is reference to the Ticket Number: INC000032531970  Request:  We understand from your description that, Need assisstance in AppLensLiteProject setup  Resolution:  Please be informed that, as discussed on call,once the ticket is created,there is no option of deleting the ticket in AppLens.  Please contact us through https://gsd.cognizant.com for any further clarifications.  Regards, AVMCoETechDesk.",625820 12/19/2018 4:26:45 PM  In Progress  Keerthana G S   ,"Hi Team,  We need to delete the applens ticket from the portal which was created in bulk upload process  .  Could you please suggest a way to delete it?  Regards Rajar","673898 12/19/2018 5:18:22 PM  Dear Rajar ,  Thank for reaching AVMCoETechDesk.  This is reference to the Ticket Number: INC000032531970  Request:  We understand from your description that, Need assisstance in AppLensLiteProject setup  Resolution:  Please be informed that, as discussed on call,once the ticket is created,there is no option of deleting the ticket in AppLens.  Please contact us through https://gsd.cognizant.com for any further clarifications.  Regards, AVMCoETechDesk.      Subhashini S   ",AppLensLite,721
L1 (AVM Tools & Portals),AppLensLite,Need access to Qliksense report,Admin rights required for Applens,"Dear Rachana ,  Thank for reaching AVMCoETechDesk.  This is reference to the Ticket Number: INC000032531954  Request:  We understand from your description that, Admin rights required for Applens  Resolution:  Please be informed that, qlik sense access has been provided.Request you to try accessing the reports and revert back for further issues.  Ticketing Module>>Lead Self service>>Timesheet Reports.  Please note that,to access the reports (Lead self service)you should be tagged as timesheet approver for atleast 1 user in AppLens.Request you to reach PM of the project to navigate to below path and change the timesheet approver,  Admin console>>User management>>Ticketing module user>>TSApprover id>>Save.  To unfreeze the timesheet for team members,the respective timesheet approver will be able to unfreeze the same.   Please contact us through https://gsd.cognizant.com for any further clarifications.  Regards, AVMCoETechDesk.","673898 12/20/2018 11:40:23 AM  In Progress  Subhashini S    673898 12/19/2018 5:27:50 PM  In Progress  Subhashini S    673898 12/19/2018 5:27:39 PM  a  Subhashini S    625820 12/19/2018 5:13:41 PM  In Progress  Keerthana G S    584073 12/19/2018 5:12:53 PM  Hi Team,  Please assist.  Warm Regards,   Simplified L0 Team.  Aswathy Krishnan   ","Need admin rights for Applens to generate reports, Unfreeze time sheet for team members for the project - Sony Music SAP Managed Services (Project Id - 1000215814).","AR_ESCALATOR 12/27/2018 3:51:16 AM  Case INC000032531954 was automatically closed on 12/27/2018 2:00:00 AM.      673898 12/20/2018 11:40:47 AM  Dear Rachana ,  Thank for reaching AVMCoETechDesk.  This is reference to the Ticket Number: INC000032531954  Request:  We understand from your description that, Admin rights required for Applens  Resolution:  Please be informed that, qlik sense access has been provided.Request you to try accessing the reports and revert back for further issues.  Ticketing Module>>Lead Self service>>Timesheet Reports.  Please note that,to access the reports (Lead self service)you should be tagged as timesheet approver for atleast 1 user in AppLens.Request you to reach PM of the project to navigate to below path and change the timesheet approver,  Admin console>>User management>>Ticketing module user>>TSApprover id>>Save.  To unfreeze the timesheet for team members,the respective timesheet approver will be able to unfreeze the same.   Please contact us through https://gsd.cognizant.com for any further clarifications.  Regards, AVMCoETechDesk.  Subhashini S    673898 12/19/2018 5:35:43 PM  Dear Rachana ,  Thank for reaching AVMCoETechDesk.  This is reference to the Ticket Number: INC000032531954  Request:  We understand from your description that, Admin rights required for Applens  Resolution:  Please be informed that, we have mailed to concern team for qlik sense access.Will update on GSD once the access is provided.  Please note that,to provide the qlik sense access you should be tagged as timesheet approver for atleast 1 user in AppLens.Request you to reach PM of the project to navigate to below path and change the timesheet approver,  Admin console>>User management>>Ticketing module user>>TSApprover id>>Save.  To unfreeze the timesheet for team members,the respective timesheet approver will be able to unfreeze the same.   Please contact us through https://gsd.cognizant.com for any further clarifications.  Regards, AVMCoETechDesk.      Subhashini S    Sinnochamps 12/19/2018 4:25:14 PM  Dear Rachana,  Thank you for reaching IT Application Support.   Our Support engineer Aswathy has started working on your request and will share the update as soon as possible.   Aswathy shall reach you, if any additional information is required.   Regards, IT Application Support.  S innochamps    Sinnochamps 12/19/2018 4:25:13 PM  Dear Rachana,  Your request has been assigned to one of our team members.  S innochamps   ",AppLensLite,722
AVMPMO_L2,AVM PMO,Reports issue in AVM PMO,AVM PMO - Reports issue in AVM PMO,,"597603 12/19/2018 4:00:31 PM  WIP  SRI RAM    625820 12/19/2018 3:56:42 PM  Hi  Team,  Please change the status to ""2.7.2 – Internal Sourcing – Pipeline PDP/CDP"" for the demand - 30356582.   Regards AVMTechdesk  Keerthana G S    ","Please change the status to ""2.7.2 – Internal Sourcing – Pipeline PDP/CDP"" for the demand - 30356582","AR_ESCALATOR 12/25/2018 2:10:42 AM  Case INC000032531092 was automatically closed on 12/25/2018 2:00:00 AM.      597603 12/19/2018 4:00:55 PM   the status updated to ""2.7.2 – Internal Sourcing – Pipeline PDP/CDP"" for the demand - 30356582  SRI RAM   ",AVMPMO,723
AVMPMO_L2,AVM PMO,Reports issue in AVM PMO,AVM PMO - Reports issue in AVM PMO,,"597603 12/19/2018 3:56:32 PM  WIP  SRI RAM    625820 12/19/2018 3:55:44 PM  Hi  Team,  30571541 - Please change the status to 1.2.1 1.2.1 SO approved for Identified Resource.   Regards AVMTechdesk  Keerthana G S   ",30571541 - Please change the status to 1.2.1 1.2.1 SO approved for Identified Resource,AR_ESCALATOR 12/25/2018 2:10:47 AM  Case INC000032531073 was automatically closed on 12/25/2018 2:00:00 AM.      597603 12/19/2018 3:58:34 PM  SO 30571541 - updated to 1.2.1 SO approved for Identified Resource  SRI RAM   ,AVMPMO,724
AVMPMO_L2,AVM PMO,Unable to save SO details,AVM PMO - Unable to save SO details,,"597603 12/19/2018 3:43:28 PM  WIP  SRI RAM    673898 12/19/2018 3:42:35 PM  Hello team,  Please update the Competency name as ""COre Others"" fro this SO#30605931  Subhashini S   ","Hello team,  Please update the Competency name as ""COre Others"" fro this SO#30605931  Thanks","AR_ESCALATOR 12/25/2018 2:12:19 AM  Case INC000032530198 was automatically closed on 12/25/2018 2:00:00 AM.      597603 12/19/2018 3:44:20 PM  Competency name updated as ""Core Others"" fro this SO#30605931  SRI RAM    ",AVMPMO,725
L1 (AVM Tools & Portals),Applens,How to raise an exception in AppLensLite,The Applens daily report for AVM-HC projects from AppLens support team contains only Emblem Health.,"Dear Shammi ,  Thank for reaching AVMCoETechDesk.  This is reference to the Ticket Number: INC000032530045  Request:  We understand from your description that, The Applens daily report for AVM-HC projects from AppLens support team contains only Emblem Health.  Resolution:  Please be informed that, As checked from our end , the account 1300172   has enabled weekly timesheet  and the attached report is for Weekly Timesheet enabled projects which gets genarted every wednesday. However the other Account which has enabled daily Timesheet are included in the daily report.  We are placing the ticket in pending for your confirmation  Kindly update on the ticket by logging into https://gsd.cognizant.com  Regards, AVMCoETechDesk.","625820 12/21/2018 5:53:49 PM  In Progress  Keerthana G S    625820 12/19/2018 7:41:43 PM  need to check with viji  Keerthana G S    625820 12/19/2018 7:40:48 PM  In Progress  Keerthana G S    437595 12/19/2018 6:25:32 PM  As checked from our end , the account 1300172   has enabled weekly timesheet  and the attached report is for Weekly Timesheet enabled projects which gets genarted every wednesday. However the other Account which has enabled daily Timesheet are included in the daily report.  Vijayalakshmi A    625820 12/19/2018 3:43:44 PM  In Progress  Keerthana G S    718882 12/19/2018 3:43:12 PM  Hi Team,  Kindly check and do the needful.  Regards,  1C - Simplified L0 Support.   Sravan Abhiram Yerru   ",The Applens daily report for AVM-HC projects from AppLens support team contains only Emblem Health project. Attaching the AppLens mail. We need all the projects included in the report.,"AR_ESCALATOR 12/29/2018 5:13:48 AM  Case INC000032530045 was automatically closed on 12/29/2018 2:01:40 AM.      625820 12/21/2018 6:00:09 PM  Dear Shammi ,  Thank for reaching AVMCoETechDesk.  This is reference to the Ticket Number: INC000032530045  Request:  We understand from your description that, The Applens daily report for AVM-HC projects from AppLens support team contains only Emblem Health.  Resolution:  Please be informed that: As discussed over the call , the account 1300172   has enabled weekly timesheet  and the attached report is for Weekly Timesheet enabled projects which gets genarted every wednesday. However the other Account which has enabled daily Timesheet are included in the daily report.  As per the confirmation on the call, we are changing the status of the case as ""resolved"".    Kindly reach us for further queries.     Regards,   AVMCoETechDesk.   Keerthana G S    SSOneC1697PROD 12/20/2018 7:58:20 PM  Why is the ticket moved to Pending status?  Shammi Kabur Jaffer Ali    SSOneC1697PROD 12/19/2018 7:39:21 PM  Could you please look into the attached report where we have all the projects and enable this report to take the input (of projects) from the source of this report?  Shammi Kabur Jaffer Ali    675017 12/19/2018 6:31:17 PM  Dear Shammi ,  Thank for reaching AVMCoETechDesk.  This is reference to the Ticket Number: INC000032530045  Request:  We understand from your description that, The Applens daily report for AVM-HC projects from AppLens support team contains only Emblem Health.  Resolution:  Please be informed that, As checked from our end , the account 1300172   has enabled weekly timesheet  and the attached report is for Weekly Timesheet enabled projects which gets genarted every wednesday. However the other Account which has enabled daily Timesheet are included in the daily report.  We are placing the ticket in pending for your confirmation  Kindly update on the ticket by logging into https://gsd.cognizant.com  Regards, AVMCoETechDesk.   Dhilip Kumar    Sinnochamps 12/19/2018 3:40:23 PM  Dear Shammi Kabur,  Thank you for reaching IT Application Support.   Our Support engineer SravanAbhiram has started working on your request and will share the update as soon as possible.   SravanAbhiram shall reach you, if any additional information is required.   Regards, IT Application Support.  S innochamps    Sinnochamps 12/19/2018 3:40:20 PM  Dear Shammi Kabur,  Your request has been assigned to one of our team members.  S innochamps   ",AppLensLite,726
AVMPMO_L2,AVM PMO,Unable to save SO details,AVM PMO - Unable to save SO details,,"597603 12/19/2018 3:37:14 PM  WIP  SRI RAM    673898 12/19/2018 3:36:17 PM  Hello team,  Please help in updating the competency name as ""Core PMO"" fro this SO#30595321  Subhashini S   ","Hello team,  Please help in updating the competency name as ""Core PMO"" fro this SO#30595321  Thanks","AR_ESCALATOR 12/25/2018 2:12:55 AM  Case INC000032529930 was automatically closed on 12/25/2018 2:00:00 AM.      597603 12/19/2018 3:38:14 PM  Competency name updated as ""Core PMO"" for this SO#30595321  SRI RAM   ",AVMPMO,727
AVMPMO_L2,AVM PMO,Unable to save SO details,AVM PMO - Unable to save SO details,,"597603 12/19/2018 3:36:39 PM  WIP  SRI RAM    625820 12/19/2018 3:34:08 PM  Hello team,  Could you please in updating the Status fro the below 21 SO's - ""1.2.1 SO approved for Identified Resource"" and action owner as ""Pending With OPS"".  30591681 30591682 30591683 30591684 30592051 30592201 30597081 30597531 30597532 30597533 30597534 30597535 30597536 30592371 30592372 30594271 30594272 30597791 30597421 30592331 30595381   Regards AVMTechdesk  Keerthana G S   ","Hello team,  Could you please in updating the Status fro the below 21 SO's - ""1.2.1 SO approved for Identified Resource"" and action owner as ""Pending With OPS"".  30591681 30591682 30591683 30591684 30592051 30592201 30597081 30597531 30597532 30597533 30597534 30597535 30597536 30592371 30592372 30594271 30594272 30597791 30597421 30592331 30595381  Thanks","AR_ESCALATOR 12/25/2018 2:13:16 AM  Case INC000032529849 was automatically closed on 12/25/2018 2:00:00 AM.      597603 12/19/2018 3:41:53 PM  Requested SO's updated  ""1.2.1 SO approved for Identified Resource"" and action owner as ""Pending With OPS"".   SRI RAM   ",AVMPMO,728
L1 (AVM Tools & Portals),AppLensLite,How/unable to add  new Application,how to track service request in applens,,"625820 12/19/2018 4:31:54 PM  In Progress  Keerthana G S    698509 12/19/2018 4:31:07 PM  Hi Team,  Please check and do the needful.  Warm Regards,  1C Simplified L0 Support   Mrujool Kansara N   ",how to track service request in applens,"AR_ESCALATOR 12/27/2018 3:56:05 AM  Case INC000032529711 was automatically closed on 12/27/2018 2:00:00 AM.      625820 12/19/2018 6:39:00 PM  Dear Peuli,  Thank for reaching AVMCoETechDesk.  This is reference to the Ticket Number: INC000032529711  Request:  We understand from your description that,how to track effort in applens portal  Resolution:  Please be informed that, As discussed over the call, tickets can be either uploaded or created in the portal and efforts can be entered for each ticket.  Navigation to upload the tickets  https://applenslite.cognizant.com-->Lead self service--> Ticket upload  Steps to create the tickets https://applenslite.cognizant.com-->Analyst self service--> Timesheet --> Add ticket   As the required information is shared through call, we are changing the status of the case as ""resolved"".  Kindly reach us for further queries.  Regards, AVMCoETechDesk.   Keerthana G S    Sinnochamps 12/19/2018 3:15:21 PM  Dear Peuli,  Thank you for reaching IT Application Support.   Our Support engineer Mrujool N Kansara has started working on your request and will share the update as soon as possible.   Mrujool N Kansara shall reach you, if any additional information is required.   Regards, IT Application Support.  S innochamps    Sinnochamps 12/19/2018 3:15:21 PM  Dear Peuli,  Your request has been assigned to one of our team members.  S innochamps   ",AppLensLite,729
